generation(kWh),power(W)
1.866,7925.632
1.552,5527.9673
1.008,3684.1812
0.806,3016.1182
0.351,981.539
0.277,1145.3721
0.161,502.99506
0.077,278.9623
0.002,29.902235
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.024,150.5891
0.079,291.6997
0.272,1210.0815
0.406,1513.3307
0.521,2079.9802
1.314,6527.1416
2.481,9968.5
3.091,12131.97
2.914,9911.442
3.138,13940.214
1.56,4733.9014
1.233,4280.0674
2.467,9797.383
2.28,7456.885
1.955,8271.091
4.355,16675.412
4.2,12240.004
4.614,19301.443
4.487,16481.05
2.338,7191.454
5.38,14569.181
2.938,14114.266
2.143,10055.329
1.875,6919.0566
3.162,12839.104
3.105,13152.198
3.1,12508.668
1.818,6532.3076
1.953,9619.608
3.056,13220.849
4.034,9582.461
4.295,20769.8
2.899,11644.176
3.735,11380.787
3.128,10478.092
2.511,11898.792
3.387,11782.491
2.499,9117.481
1.777,7309.8794
3.722,15512.238
2.034,7449.183
2.337,9923.718
1.189,4141.555
1.136,4374.5605
0.826,3462.1147
1.086,3641.945
0.898,3648.1619
0.902,3241.1887
0.733,2727.9224
0.531,1925.0231
0.307,1078.3893
0.161,510.9166
0.022,60.559803
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.031,207.3831
0.15,631.96704
0.167,616.96387
0.207,865.3162
0.189,651.96014
0.072,223.79842
0.16,791.2758
0.364,1793.6516
0.739,2916.3928
2.163,9689.698
3.035,10325.988
1.354,5395.427
2.375,11234.512
3.346,14576.309
3.478,11436.292
4.508,17665.914
4.882,15649.468
4.526,16443.24
3.264,16611.016
3.749,16566.219
1.295,4840.06
2.599,15647.106
6.531,25012.533
7.187,27744.715
6.792,29964.016
3.657,9938.041
4.333,22896.613
7.549,30956.207
5.917,28708.697
3.919,11177.128
4.206,14333.154
3.626,10566.022
3.509,10326.687
3.866,17077.299
2.787,6678.6997
2.814,7736.256
1.625,5904.3413
1.868,5755.1914
2.69,14535.05
1.441,7231.1235
1.831,4179.0635
1.926,6734.7656
1.4,5790.931
0.753,2394.7693
0.678,2561.7131
0.734,3061.3477
0.925,3131.17
0.405,1281.7043
0.423,1803.4462
0.464,1739.7396
0.395,1505.9005
0.16,503.93365
0.022,61.275547
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.027,127.84138
0.173,945.49774
0.353,1239.4382
0.219,969.9844
0.531,2977.6318
0.859,2855.5574
0.951,3177.3752
0.985,4700.1533
2.07,7696.036
2.332,8198.645
1.969,6561.6816
1.998,7230.5312
2.856,10113.003
2.388,10934.09
3.938,15275.674
4.312,19362.447
4.751,15639.084
4.634,18046.098
3.13,13675.848
2.929,10098.154
3.619,11235.959
2.276,9883.768
3.639,17377.248
5.472,15724.48
3.221,14834.561
4.123,24177.807
6.156,24585.639
4.983,17065.45
5.591,15431.497
4.174,15936.291
2.452,16550.322
3.964,22207.486
5.196,22334.441
5.172,25537.693
3.913,20076.31
2.226,8159.9316
3.502,14102.817
3.932,17265.955
3.875,10548.673
2.209,8539.835
2.107,9824.307
1.838,7457.6504
1.034,2828.1736
0.949,2419.5803
0.47,1619.8302
0.709,2361.5117
0.445,1459.5256
0.25,1072.1307
0.247,886.95667
0.197,713.769
0.075,254.1297
0.02,63.137505
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
